Accession Number,Title,Subject,Description,Period,Creator,Place of Origin,Condition,Notes,Location,Contributor/  Donor,Filenames
1989.04.008A+B,Black leather pumps with exaggerated toe box,Costume; Accessories; Footwear,"Black leather pumps with exaggerated toe box, 2.5 inch curved heels and diamante buckle with scalloped upper edge",1912-1920,Kilgour-Chambers ,"Toronto, Canada",Good condition.,Cotton lining in toe box with stamped numbers 24113 on right shoe and 26125 on left shoe,KHW66H,Norah Clarry,
1989.04.009_A+B,A.J. Cammeyer pink kid leather pumps ,Costume; Accessories; Footwear,Pink kid leather pumps with mother of pearl beading and oval shaped cut-outs on vamp. Multiple strap closure with mother of pearl buttons.,1912-1920,A.J. Cammeyer ,"16th Avenue 20th Street, New York, USA","Poor condition. Missing most buttons, leather is worn, esp. inside right heel",Beautiful shoes. Similar pair owned by Costume Institute at the Met,KHW66H,Norah Clarry,
1989.04.010,Sheer white night cap,Costume; Headgear; Hats,Sheer white night cap with self-fabric ruched ribbon encircling base of crown. With hair pins. ,1890-1905,Unknown,,"Fair condition. Considerable yellowing from dirt and aging, especially on top of crown. No tears. ",,KHW66H,Norah Clarry,
1989.04.011,Jane Robinson womenswear green felt hat with pheasant feathers,Costume; Headgear; Hats,Green felt hat with pheasant feathers across front of crown and netting overlay. ,1930-1939,Jane Robinson,"1508 Yonge Street, Toronto, Canada",Good condition. Minor wear on inside of crown.,Toronto milliner ,KHW66H,Norah Clarry,"/home/pchurch/Programming/fashion/Marinas Images/FRC_Hats_1989.04.011_F34_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_Hats_1989.04.011_FRT_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_Hats_1989.04.011_B34_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_Hats_1989.04.011_RGT_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_Hats_1989.04.011_LBL_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_Hats_1989.04.011_Det_1_Web.jpg"
1989.04.013,Pink dish hat with self fabric bow ,Costume; Headgear; Hats,Pink dish hat with self fabric bow at front of crown. ,1940-1950,Piko Montreal,"Montreal, Canada",Good condition. Grosgrain band inside crown is detaching. Minor yellowing of label.,Montreal and New York retailer. ,KHW66H,Norah Clarry,
1989.04.014,Miss Alice green velvet half hat,Costume; Headgear; Hats,Green velvet half hat gathered at back of crown with 3.5cm self-fabric button. ,1950-1960,Miss Alice,USA,Fair condition. Minor stains on velvet. Tag on inside of crown yellowing.,Made in USA label.,KHW66H,Norah Clarry,
1989.04.015,Royal blue velvet cap with rhinestones,Costume; Headgear; Hats,Royal blue velvet cap with self-fabric wire reinforced decorative loops twisting across front of crown. With rhinestone embellishments and blue full face veil. ,1950-1960,A Chesterfield Original,,"Good condition, glue is decaying. Veil is fragile.",,KHW66H,Norah Clarry,
1989.04.016,Modified boater with copper straw  crown and white  upturned brim,Costume; Headgear; Hats,Modified boater with copper straw  crown and white  upturned brim. Ivory organza is folded along brim. Contrasting blue grosgrain ribbon hangs off side of brim. With full face blue veil and hair combs. ,1950-1960,Michael New York ,USA,Fair condition. Veil is very brittle and is detaching from front of crown. Organza has yellowed and blue grosgrain ribbon is dull in colour.,Made in USA label.,KHW66H,Norah Clarry,
1989.04.017,Multicoloured wildflower cap with green velvet trim,Costume; Headgear; Hats,Multicoloured wildflower cap with green velvet trim and hair combs. ,1950-1960,Unknown,USA,Fair condition. Flowers are missing exposing the mesh structure. Pile on velvet trim is worn down at stress points. ,Made in USA label.,KHW66H,Norah Clarry,
1989.04.019,Black needlepoint purse,Costume; Accessories; Purse; Needlework,"Black needlepoint purse in floral motif with pink, green and yellow circular pattern. Brass-coloured closure and looped chain handle. ",1930-1939,Unknown,,Good condition.,Needlepoint is very delicate.,KHW66H,Norah Clarry,"/home/pchurch/Programming/fashion/Marinas Images/FRC_Purses_1989.04.019_Det_6_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_Purses_1989.04.019_BCK_ChainUp_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_Purses_1989.04.019_RGT_ChainUp_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_Purses_1989.04.019_Det_5_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_Purses_1989.04.019_Det_2_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_Purses_1989.04.019_INS_1_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_Purses_1989.04.019_Det_1_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_Purses_1989.04.019_Det_4_Web.jpg"
1989.04.021_A+B,Green wool men's tailcoat with black satin lapel  and black wool vest,Costume; Garments; Coat; Vest,"Green wool menswear tailcoat with black satin lapel and self-fabric buttons. B. Black wool vest lined in striped cotton. Back is black satin with mid-back belt and buckle. Label on inside pocket of tailcoat reads: ""Semi-ready $30.00""",1910-1930,Unknown,,Fair condition. Dusty. ,Colour is unusual for a tailcoat. Possibly worn as a uniform (hotel or livery).,KHW66B,Norah Clarry,
1989.04.028,White silk satin menswear evening scarf,Costume; Accessories; Neckwear; Scarves,White silk satin menswear evening scarf (for formal attire),1900-1920,Unknown,,Very good condition.,,Box 305,Norah Clarry,
1989.04.029A+B,Gray wool men's gaiters ,Costume; Accessories; Footwear,Gray wool men's gaiters with side buttons. Leather buckle ,Not dated,Unknown,,Fair condition. Leather is very brittle and hard. Buckles are rusty.,Materials seem to be dated to turn of century?,KHW66H,Norah Clarry,
1989.04.035A,White cotton formal menswear dress shirt,Costume; Garments; Shirt; ,"White cotton formal menswear dress shirt ""Bosom/Boiled shirt"", closes at back. Label reads: ""Arrow, Cluett, Peabody & Co. Ltd. Made in Canada""",1924,"Arrow, Cluett, Peabody & Co. Ltd. ",Canada,"Fair condition. Considerable yellowing, very brittle.","Label also includes ""KIRK Sanitized"". Back of collar stamped ""T924""",Box 305,Norah Clarry,
1989.04.035_B+C,Detachable wing tip collars,Costume; Accessories; Neckwear; ,"Detachable wing tip collars (2) Label reads: ""Arrow De Luxe Cluett, Peabody & Co. Inc., USA 134 Host for size 15 shirt""",1924,"Arrow De Luxe Cluett, Peabody & Co. Inc.",USA,Very good condition.,"Stamped ""1924, Host for size 15 shirt""",Box 305,Norah Clarry,
1989.04.035D,Mother of Pearl button studs,Costume; Accessories,4 White Mother of Pearl button studs,1900-1930,Unknown,,Very good condition.,Packaged together in envelope for storage,Box 305,Norah Clarry,
1989.04.036,The English Shop white formal men's dress shirt,Costume; Garments; Shirt; ,"White formal menswear dress shirt ""Bosom/Boiled shirt"", front closing. Label reads: ""The English Shop ""Stanley Boworth"" Toronto, Measure Retained""",1924,Stanley Boworth,"Toronto, Canada","Fair condition, some yellowing.",Name of maker is written in script and is difficult to read. Some handwritten info on back of collar is also illegible,Box 305,Norah Clarry,
1989.04.037,White formal menswear dress shirt,Costume; Garments; Shirt; ,"White formal menswear dress shirt, closes at back. Label reads: ""Formal Wear made by John Forsyth""",1920-1930,John Forsyth,,"Fair condition, some yellowing and minor holes","Stamped ""Haddon 14 1/2 - 34"" on lower shirt front",Box 305,Norah Clarry,
1989.04.038,Berkeley Tie white cotton formal double end straight bow tie,Costume; Accessories; Neckwear; ,Menswear white cotton formal double end straight bow tie with instructional card. ,1920-1930,Berkeley Tie ,England,Very good condition.," Label reads: ""Berkeley Tie Tailored Dress Ties, Made in England""",Box 305,Norah Clarry,
1989.04.039,Berkeley Tie white cotton formal double end straight bow tie ,Costume; Accessories; Neckwear; ,Menswear white cotton formal double end straight bow tie.,1920-1930,Berkeley Tie ,England,Very good condition.," Label reads: ""Berkeley Tie Tailored Dress Ties, Made in England""",Box 305,Norah Clarry,
1989.04.041,Berkeley Tie white cotton formal double end straight bow tie ,Costume; Accessories; Neckwear; ,Menswear white cotton formal double end straight bow tie.,1920-1930,Berkeley Tie ,England,Very good condition.," Label reads: ""Berkeley Tie Tailored Dress Ties, Made in England""",Box 305,Norah Clarry,
1989.04.042,Welch Margetson & Co. Ltd detachable wingtip collar,Costume; Accessories; Neckwear; ,Menswear detachable wingtip collar. ,1920-1930,Welch Margetson & Co. Ltd.,"London, England",Very good condition.,"Label reads: ""Welch Margetson & Co. Ltd., London, England"".",Box 305,Norah Clarry,
1989.04.043,Arrow detachable stand collar,Costume; Accessories; Neckwear; ,"Menswear detachable stand collar. Label reads: ""Trademark Arrow, Cluett, Peabody & Co. Ltd. Canada"".",1900-1910,"Arrow, Cluett, Peabody & Co. Ltd. ",Canada,Very good condition.,"Collar also stamped ""DEVON Clupeco Shrunk 15 1122""",Box 305,Norah Clarry,
1989.04.044,Arrow detachable stand collar,Costume; Accessories; Neckwear; ,"Menswear detachable stand collar. Label reads: ""Trademark Arrow, Cluett, Peabody & Co. Ltd. Canada"".",1900-1910,"Arrow, Cluett, Peabody & Co. Ltd. ",Canada,Very good condition.,"Collar also stamped ""DEVON Clupeco Shrunk 15 1122""",Box 305,Norah Clarry,
1989.04.045,Arrow detachable stand collar,Costume; Accessories; Neckwear; ,"Menswear detachable stand collar. Label reads: ""Trademark Arrow, Cluett, Peabody & Co. Ltd. Canada"".",1900-1910,"Arrow, Cluett, Peabody & Co. Ltd. ",Canada,Very good condition.,"Collar also stamped ""DEVON Clupeco Shrunk 15 1122""",Box 305,Norah Clarry,
1989.04.046,Arrow detachable stand collar,Costume; Accessories; Neckwear; ,"Menswear detachable stand collar. Label reads: ""Trademark Arrow, Cluett, Peabody & Co. Ltd. Canada"".",1900-1910,"Arrow, Cluett, Peabody & Co. Ltd. ",Canada,Very good condition.,"Collar also stamped ""DEVON Clupeco Shrunk 15 1122""",Box 305,Norah Clarry,
1989.04.047A+B,Enamel on silver tie clips ,Costume; Accessories; Neckwear; ,Enamel on silver tie clips with initial S.,Not dated,Unknown,,Very good condition.,Stored in small gray pouch,Box 305,Norah Clarry,
1989.04.048,White cotton formal double end straight bow tie ,Costume; Accessories; Neckwear; ,White cotton formal double end straight bow tie. ,1920-1930,Berkeley Tie ,England,Very good condition.,"Label reads: ""Berkeley Tie Tailored Dress Ties, Made in England""",Box 305,Norah Clarry,
1989.05.001,Claude Montana Paris green wool culottes,Costume; Garments; Trousers,Loden green wool womenswear culottes with leather stand pockets and trim. ,1980-1990,Claude Montana Paris,Italy,Good condition.,Made in Italy label.,KHW66C,Karen Mulhallen,
1989.05.002_A+B,Thierry Mugler gray checked wool jacket and matching skirt ,Costume; Garments; Jacket; Skirt,"A. Gray wool jacket with pink and yellow check. Silver snap closures on collar, shoulder epaulettes and front. B. Matching knee length skirt with side zipper.",1980-1989,Thierry Mugler,,Very good condition.,,KHW66C,Karen Mulhallen,
1989.05.005,Eddie Bauer beige nylon vest,Costume; Garments; Outerwear; Vest,"Beige nylon padded vest with front zipper. Label reads: ""Eddie Bauer Expeditions, Toronto Canada, Size 36"".",1980-1990,Eddie Bauer Expeditions,"Toronto, Canada",Very good condition.,,KHW64A,Karen Mulhallen,
1989.05.013_A+B,Holt Renfrew navy blue pumps with navy & cream polka dot bow,Costume; Accessories; Footwear,Navy blue pumps with navy & cream polka dot bow and trim. Heels are 2 1/2 inches.,1950-1960,Holt Renfrew,,Fair condition.,,KHW66H,Karen Mulhallen,
1989.05.084,Navy blue men's necktie with maple leaf and Olympic motifs,Costume; Accessories; Neckwear; ,Navy blue men's necktie with maple leaf and Olympic motifs.,Not dated,Abbey Cravats,,Very good condition.,,Box 304,Karen Mulhallen,
1989.05.086A+B,Simpsons The Room Pink Paisley Midi-Dress,Costume; Garments; Dress,A. Pink paisley long-sleeved jersey knit midi-dress with quilted skirt.  B. Self-belt.,1965-1968,Simpsons The Room,,Very good condition.,,KHW66C Rack #3,Karen Mulhallen,
1989.05.131,Eaton's School Shop white and navy blue cotton top with sailor collar,Costume; Dress; Uniform; Blouse,White and navy blue top with sailor collar. CGIT Uniform top.,Not dated,Eaton's School Shop,,Good condition.,,KHW64A,Karen Mulhallen,
1989.06.053,Perry Ellis striped jacket with peplum waist,Costume; Garments; Jacket,Earth-toned striped jacket with peplum waist.,1980-1985,Perry Ellis,,Good condition.,Size 4. ,KHW66C,Karen Mulhallen,
1990.01.010,Dobbs men's grey fine felted Homburg ,Costume; Headgear; Hats,Men's grey fine felted Homburg with 5cm wide grosgrain hatband and two small red pheasant feathers on left side of crown. ,1950-1960,Dobbs,,Fair condition.,Pheasant feather is decaying. Lining inside of crown is yellowing. Comes with beautiful original hat box.,KHW66H,Betty Johnson,
1990.02.001,"Norma Kamali blue, gray and rust plaid pull-on jumpsuit",Costume; Garments; Trousers,"Blue, gray and rust plaid pull-on jumpsuit. Patch pockets. Collar, inset sleeves, and large shoulder pads. No closures. ",1980-1990,Norma Kamali,,Good condition.,No closures. Large shoulderpads.,KHW66C,Karen Mulhallen,
1990.02.004,"Norma Kamali cream silk jacket with shoulder pads,",Costume; Garments; Jacket; ,"Cream silk jacket with shoulder pads, patch pockets, no closures.",1980-1990,Norma Kamali,,Good condition.,,KHW66C,Karen Mulhallen,
1990.02.005,Armani brown tweed  jacket ,Costume; Garments; Jacket; ,Brown tweed single-breasted womenswear jacket with front flap pockets. ,1980-1990,Giorgio Armani,,Good condition. Slight underarm stains.,Retailer label: Bergdorf Goodman,KHW66C,Karen Mulhallen,
1990.02.006,Black velvet half hat with large self-fabric wired bow ,Costume; Headgear; Hats,Black velvet half hat with large self-fabric wired bow on top of crown. With 2 hair combs.,1950-1960,Unknown,,Fair condition. Slightly crushed. Wire on velvet has separated. ,,KHW66H,Karen Mulhallen,
1990.02.008_A+B,Sonia Rykiel cream knit sweater and matching skirt,Costume; Garments; Sweater; Skirt,"Cream knit sweater-jacket with shoulder pads, welt pockets and tie closure. B.Matching cream knee-length knit skirt with double ruffle hem.",1983-1988,Sonia Rykiel,,Good condition. Slightly dirty.,,Box 203,Karen Mulhallen,
1990.02.011A+B,Sung Sport pink dolman sleeved top with matching skirt ,Costume; Garments; Dress,"A. Rose pink long-sleeved knit top with dolman sleeves B. Matching narrow, knee-length skirt ",1980-1985,Sung Sport,,Good condition. Slightly dirty.,"70% acrylic, 30% wool",Box 201,Karen Mulhallen,
1990.02.019,Theresa Alrens green velvet hairband with faux leaves and berries,Costume; Headgear; Hats,Green velvet hairband with faux leaves and berries. Green netting for small veil.,1950-1960,Theresa Alrens,,Fair condition. Berries are disintegrating.,Berries are disintegrating.,KHW66H,Karen Mulhallen,
1990.02.020,Lily Street Miami Beach straw hairband with faux berries,Costume; Headgear; Hats,"Natural twill weave straw hairband with faux berries, leaves and black velvet bows. ",1950-1960,Lily Street Miami Beach,"Miami, USA",Fair condition.  Inside of crown has sweatstains.,Very delicate hairband style of millinary. ,KHW66H,Karen Mulhallen,
1990.02.038,Norma Kamali cream sweatshirt dress ,Costume; Garments; Dress,"Cream sweatshirt dress with patch pockets, front button closures and dolman sleeves",1980-1990,Norma Kamali,,Fair condition. Visible stains on dress,,KHW66C,Karen Mulhallen,
1990.03.001_A+B,Green plaid silk taffeta bodice with pagoda sleeves and matching floor-length skirt,Costume; Garments; Bodice; Skirt; Dress,"A. Green plaid silk taffeta bodice with pagoda sleeves, 12 decorative buttons (closes with hooks and eyes), black machine lace trim on sleeves and hem, lightly boned and lined with cotton. B. Matching gathered crinoline skirt has horizontal tucks towards hem and is finished with green cording. Lined in cotton. Concealed right side deep pocket.",1860-1865,Unknown,,Good condition.,"Donor wrote that the dress was ""reported to have belonged to the sister of the stepmother of her great grandfather"". ",Box 500,Helen Service,
1991.01.004_A+B,"Lou Larry fitted jacket with shawl collar, matching narrow skirt",Costume; Garments; Jacket; Skirt,"A. Fitted jacket with shawl collar, and decorative circles around buttonholes. Self-fabric button closures. Lined in orange silk. B. Matching narrow skirt with side zip closure, lined in brown silk. Back kick pleat. Label reads: ""Lou Larry, A Touch of Paris""",1940-1949,Lou Larry,,Good condition.,Beautifully tailored and finished. Circular elements around buttonholes are unusual.,KHW66B,Karen Mulhallen,
1991.01.013,Gray-blue wool jacket with pleated back,Costume; Garments; Jacket; ,Gray-blue wool jacket with pleated back. Pockets have horizontal pleats. Self-fabric button closures. Green satin lining.,1940-1949,Unknown,,Good condition.,Beautifully tailored and finished.,KHW66B,Karen Mulhallen,
1991.01.014,Red lace Merry Widow corset,Costume; Garments; Underwear,"Red lace 'Merry Widow' boned corset, with detachable straps and garters.",1980-1990,Frilly's,China,Very Good condition.,Composition 95% nylon and 5% elastine. Size 34B,Box 306,Karen Mulhallen (Anonymous),
1991.01.049,Green flocked velvet womenswear evening coat with chinchilla fur cuffs,Costume; Garments; Coat,Green flocked velvet womenswear evening coat with chinchilla fur cuffs. No closures. Snap closure and rosette at left hip.,1920-1929,Unknown,,Poor condition. Tearing at shoulder,,Box 511,Karen Mulhallen,
1991.04.015,Mauve wool jacket with shawl collar,Costume; Garments; Jacket; ,"Mauve wool jacket with shawl collar, double rows of self-fabric buttons and shaped pockets. Lined in gray-green silk.",1940-1949,Unknown,,Good condition.,Beautifully tailored. Shaped pockets are unusual. ,KHW66B,Jocelyn Ryles,
1991.05.001,Lily Street Miami Beach black chip straw hat ,Costume; Headgear; Hats,"Black chip straw hat with interwoven self-fabric braiding. Brim is lavished in white wildflowers, baby's breath, twigs, roses and grosgrain bows.",1950-1959,Lily Street Miami Beach,"Miami, USA",Good condition. Flowers show signs of aging and are browining. ,Beautiful bouquet and a texturally rich straw hat. ,KHW66H,Margaret Phillips,
1991.05.002,Lily Street Miami Beach lampshade hat with black duck feathers,Costume; Headgear; Hats,Lampshade hat with black goose feather brim and pink bengaline pleated crown. ,1950-1959,Lily Street Miami Beach,"Miami, USA","Good condition, Makeup stains inside crown.",Dramatic hat with large feather covered brim. ,KHW66H,Margaret Phillips,"/home/pchurch/Programming/fashion/Marinas Images/FRC_Hats_1991.05.002_LBL_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_Hats_1991.05.002_FRT_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_Hats_1991.05.002_B34_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_Hats_1991.05.002_Det_4_Web.jpg"
1991.05.003,Lily Street Miami Beach wheat coloured cloche-like bonnet ,Costume; Headgear; Hats,"Wheat coloured cloche-like bonnet with irregular, mother of pearl bead clusters. Decorative 2.5cm velvet ribbon sweeps across top of crown and dips underneath back of crown.",1950-1959,Lily Street Miami Beach,"Miami, USA","Poor condition. Bead clusters are falling off, velvet ribbon is not secure.", Very fragile.,KHW66H,Margaret Phillips,
1991.05.004,Lily Street Miami Beach black tulle cloche hat with oversized crown,Costume; Headgear; Hats,Black tulle cloche hat with oversized crown. Fuschia pink satin lining. ,1950-1959,Lily Street Miami Beach,"Miami, USA",Poor condition. Lining is completely detaching from crown. Tulle is unraveling in areas.,Tulle on crown is folded to create volume and texture with the draped tulled encircling the face at the base of the crown. ,KHW66H,Margaret Phillips,
1991.05.005,Miss Dior turban-style hat,Costume; Headgear; Hats,Brown netting turban hat with black bead embellishments. ,1955-1960,Miss Dior for Christian Dior,,Good condition.,Notable couture designer diffusion line. ,KHW66H,Margaret Phillips,"/home/pchurch/Programming/fashion/Marinas Images/FRC_Hats_1991.05.005_TOP_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_Hats_1991.05.005_Det_1_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_Hats_1991.05.005_FRT_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_Hats_1991.05.005_F34_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_Hats_1991.05.005_LBL_Web.jpg"
1991.05.006,Lily Street Miami Beach black straw revival bonnet,Costume; Headgear; Hats,"Black straw revival bonnet with black eyebrow veiling encrusted with pearl and rhinestone details. Red rose on the back of the crown peaks out undeneath a large, moss green velvet bow. The stem of the rose circles around to the front of the crown. With chignon strap. ",1950-1960,Lily Street Miami Beach,"Miami, USA",Fair condition. Some fading and loss of shape.,Beautiful but very delicate.,KHW66H,Margaret Phillips,
1991.05.007,Lily Street Miami Beach blue chipstraw duckbill bonnet ,Costume; Headgear; Hats,Blue chipstraw duckbill bonnet trimmed with white wildflowers. Accented with a pink fuschia velvet bow on right side of crown and a dark blue full face veil that covers brim. With chignon strap. ,1950-1960,Lily Street Miami Beach,"Miami, USA",Fair condition. Veil is very fragile and is tearing in multiple areas.,,KHW66H,Margaret Phillips,
1991.05.008,Lily Street Miami Beach straw hat with blue velvet bows ,Costume; Headgear; Hats,Natural twill weave straw hat with hooked textural detail and duckbill brim. Four dark blue velvet bows encircle top of brim. Blue full face netting extends from ribbons over face. With small bird on front of ribbon. ,1950-1960,Lily Street Miami Beach,"Miami, USA",Poor condition. Sweat stains on inner crown. Veil is tearing in areas. Brim is mis-shapen.,,KHW66H,Margaret Phillips,
1991.05.009,Bonwit Teller green velvet pillbox hat,Costume; Headgear; Hats,Green velvet pillbox hat with bright pink rose on front of crown. With berry coloured full face netting and hair combs. ,1960-1965,Bonwit Teller,USA,Very good condition.,,KHW66H,Margaret Phillips,"/home/pchurch/Programming/fashion/Marinas Images/FRC_Hats_1991.05.009_FRT_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_Hats_1991.05.009_RGT_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_Hats_1991.05.009_Det_2_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_Hats_1991.05.009_TOP_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_Hats_1991.05.009_Det_1_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_Hats_1991.05.009_F34_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_Hats_1991.05.009_B34_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_Hats_1991.05.009_LBL__Web.jpg"
1991.05.010,Beige fur beret with red satin and black grosgrain trim,Costume; Headgear; Hats,Beige fur beret with red satin and black grosgrain trim. Red satin double bow at front of crown with peacock and pheasant feathers coming out from bow. With hair pin. ,Not dated,Monterey,,Fair condition. Colour of fur has dulled. Peacock feather is broken,,KHW66H,Margaret Phillips,
1991.05.011,Saks Fifth Avenue black velvet womenswear doll hat,Costume; Headgear; Hats,Black velvet doll hat adorned with one rose and one rosebud with leaves and stems. Finished with three tufts of horse hair and a self fabric bow at base of crown. With hair combs.,1940-1949,Saks Fifth Avenue,USA,Fair condition. Colours on roses are fading. Tag on inside of crown is fraying. ,,KHW66H,Margaret Phillips,"/home/pchurch/Programming/fashion/Marinas Images/FRC_Hats_1991.05.011_RGT_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_Hats_1991.05.011_BCK_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_Hats_1991.05.011_B34_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_Hats_1991.05.011_F34_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_Hats_1991.05.011_LBL_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_Hats_1991.05.011_Det_1_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_Hats_1991.05.011_FRT_Web.jpg"
1991.05.012,Mr. John womenswearblack satin half hat,Costume; Headgear; Hats,"Black satin half hat with black, pink and white roseses and netting overlay. With hair combs.",1940-1949,Mr. John,,Good condition. Minor signs of wear inside of hat,Union made label,KHW66H,Margaret Phillips,"/home/pchurch/Programming/fashion/Marinas Images/FRC_Hats_1991.05.012_LBL_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_Hats_1991.05.012_BCK_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_Hats_1991.05.012_Det_2_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_Hats_1991.05.012_B34_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_Hats_1991.05.012_Det_3_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_Hats_1991.05.012_Det_1_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_Hats_1991.05.012_FRT_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_Hats_1991.05.012_RGT_Web.jpg"
1991.05.013,Lily Street Miami Beach straw half hat with waved crown,Costume; Headgear; Hats,Nautral twill weave hooked straw half hat with waved crown. Hat is covered in white wildflowers. Back of crown has sculpted black velvet decorative detail and a black velvet bow. ,1950-1959,Lily Street Miami Beach,"Miami, USA",Fair condition. Minor sweat stains inside crown. Pile on decorative velvet is flatened on stress points.,White flowers are becoming dull from aging. Lining inside of crown is very delicate and is hand whip stitched in place. ,KHW66H,Margaret Phillips,
1991.05.014,Pink ostrich feather and pink veil fascinator,Costume; Headgear; Hats,Hot pink ostrich feather and pink veil fascinator. ,1935-1945,Skol Nips,,Good condition.,Union Made label inside. ,KHW66H,Margaret Phillips,
1991.05.015,Large black rosette cap with veil,Costume; Headgear; Hats,Large black rosette cap with black velvet leaf detail and black half face veil. With hair comb.,1950-1960,Unknown,,Good condition.  Glue on top of crown indicate there is something that has fallen off.,,KHW66H,Margaret Phillips,
1991.05.016,Black twill weave straw bonnet ,Costume; Headgear; Hats,"Black twill weave straw bonnet with frayed natural straw trim, black/white plastic flower buds and velvet bows.",1860-1880,Unknown,,Good condition. Discolouration from aging.,,KHW66H,Margaret Phillips,
1991.05.017,White feather juliet cap with black velvet bow ,Costume; Headgear; Hats,White feather juliet cap with black velvet bow draped over top of crown.,1950-1960,Unknown,,Fair condition. Inside of crown is yellowing from age. Glue is causing decay where feathers are held down.,,KHW66H,Margaret Phillips,
1991.05.018,Black satin  half hat with veil ,Costume; Headgear; Hats,Black satin hand embellished half hat with fine black half face veil. ,1950-1960,Unknown,,Good condition. Minor loosening of beading on back of crown.,Beautiful beading on either side of crown resemble grape bunches.,KHW66H,Margaret Phillips,
1991.05.019,Lily Street Miami Beach navy blue half hat with  veil,Costume; Headgear; Hats,Navy blue half hat with blue jewel embellishments and full face veil.,1950-1960,Lily Street Miami Beach,"Miami, USA",Good condition. Veil is very delicate.,Crown is shaped like leaves encirciling crown. ,KHW66H,Margaret Phillips,
1991.05.021,Hattie Carnegie black velvet juliet cap,Costume; Headgear; Hats,Black velvet juliet cap. With hair combs. ,1950-1956,Hattie Carnegie,"New York, USA",Good condition. Minor signs of wear inside crown. Velvet is in perfect condition.,,KHW66H,Margaret Phillips,
1991.05.022,Saks Fifth Avenue black velvet cap ,Costume; Headgear; Hats,Black velvet womenswear cap with black ribbon decorative bulb on top of crown. Black full face veil and two hair combs. ,1930-1940,Saks Fifth Avenue,,Perfect condition. No visible signs of wear,,KHW66H,Margaret Phillips,
1991.05.023,Black velvet and net cap with black and white carnations ,Costume; Headgear; Hats,Black velvet and net cap with black and white carnations covering the crown. Black velvet bow at front of crown. With hair comb. ,1950-1960,"Best & Co., Betman",,Good condition. Some discolouraton.,,KHW66H,Margaret Phillips,
1991.05.024,Black velvet headband with large bow,Costume; Headgear; Hats,Black velvet headband with large self-fabric bow draped across top of crown. Blue full face veil. ,1950-1960,Unknown,,Fair condition. Headband is twisted and veil is detached from top of crown.,,KHW66H,Margaret Phillips,
1991.05.025,Dark navy blue velvet headband with large bow,Costume; Headgear; Hats,Dark navy blue velvet headband with large self-fabric bow draped across top of crown. Blue full face veil with rhinestone detail.,1950-1960,Best & Co. New York,"New York, USA",Poor condition. Headband is twisted and veil is very brittle and has detached from top of crown.,Extremely delicate. ,KHW66H,Margaret Phillips,
